 DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2019 JAN 10   02 56 56.1 37.9683 23.6227   12         1.3
 2019 JAN 10   04 00 17.7 37.8192 21.0690   13         2.2
 2019 JAN 10   04 21 13.5 37.7648 21.0612   14         2.4
 2019 JAN 10   05 44 20.4 35.5096 27.1454   14         3.0
 2019 JAN 10   06 21 30.1 39.0760 23.4072   11         2.4
 2019 JAN 10   07 26 04.6 37.4132 20.9150   12         3.3
 2019 JAN 10   07 48 34.2 39.0680 23.3932    9         1.8
 2019 JAN 10   08 52 29.5 39.0702 23.4047   10         2.5
 2019 JAN 10   09 23 30.1 37.9662 21.9630   10         2.3
 2019 JAN 10   09 51 23.8 37.2898 20.7617   14         2.9
 2019 JAN 10   11 12 58.0 38.2925 22.1168   12         2.0
 2019 JAN 10   11 43 53.0 37.6335 20.8822   13         2.5
 2019 JAN 10   11 47 50.8 37.3892 20.5947   18         2.5
 2019 JAN 10   12 38 16.1 37.5872 20.6575   14         2.8
 2019 JAN 10   12 41 44.5 38.8640 21.1978   34         2.1
 2019 JAN 10   14 28 43.8 33.9645 25.9935    6         2.7
 2019 JAN 10   15 04 14.7 34.2550 26.6742    8         3.4
 2019 JAN 10   16 04 41.5 36.9288 27.2940   14         2.4
 2019 JAN 10   16 47 40.5 37.2648 20.5768    6         2.5
 2019 JAN 10   17 24 34.3 37.2360 20.5653    7         3.1
 2019 JAN 10   17 30 15.3 37.3047 20.5993   13         4.4
 2019 JAN 10   18 24 40.1 34.6685 26.6088   44         4.6
 2019 JAN 10   18 33 10.9 34.4982 26.6095   12         2.8
 2019 JAN 10   18 35 24.2 34.5255 26.6030   13         3.4
 2019 JAN 10   18 51 50.9 38.6183 23.6923   16         2.2
 2019 JAN 10   19 22 13.3 37.4238 20.4680   16         2.4
 2019 JAN 10   19 38 55.0 37.3173 20.6047   14         2.8
 2019 JAN 10   21 12 35.8 38.8907 23.1300   10         2.3
 2019 JAN 10   21 17 27.6 38.5420 21.9320   18         2.2
 2019 JAN 10   22 05 16.7 37.0495 20.5695   14         3.3
 2019 JAN 10   22 52 02.9 37.4396 20.7660   12         2.4
 2019 JAN 10   23 03 46.4 34.6207 26.3427   67         2.9
 2019 JAN 10   23 41 29.7 38.2365 22.5303   17         2.0
 2019 JAN 11   00 44 26.2 37.7023 20.5234   11         2.7
 2019 JAN 11   01 20 57.9 37.6500 20.3712   16         2.2
 2019 JAN 11   01 58 48.3 40.1752 25.0723   12         2.7
 2019 JAN 11   02 33 33.8 37.6098 20.8532   21         2.8
 2019 JAN 11   02 45 38.7 40.5945 24.0747   14         2.2
 2019 JAN 11   02 47 58.5 37.4513 20.5168   18         2.4
 2019 JAN 11   03 02 48.4 37.6235 20.8780   15         2.6
 2019 JAN 11   03 11 50.0 37.2583 20.6616   10         2.6
 2019 JAN 11   03 33 52.4 37.5497 20.9463   12         2.5
 2019 JAN 11   03 45 56.3 37.8018 21.0843   14         2.6
 2019 JAN 11   04 50 57.2 37.4123 20.5182   15         2.9
 2019 JAN 11   05 07 12.9 37.6877 20.5558   12         2.7
 2019 JAN 11   05 24 15.0 37.6287 20.9022   10         2.6
 2019 JAN 11   05 28 34.2 37.6083 20.3500   14         3.0
 2019 JAN 11   05 59 39.4 37.2957 20.7108   11         2.7
 2019 JAN 11   06 37 58.4 34.6347 23.5565   36         2.7
 2019 JAN 11   08 35 56.9 39.0782 23.4398   16         1.5
 2019 JAN 11   08 57 43.1 37.6715 20.8870   21         2.4
 2019 JAN 11   10 00 06.3 37.3357 20.7627   11         2.2
 2019 JAN 11   10 05 10.0 37.5697 20.7095   12         2.7
 2019 JAN 11   10 21 57.5 34.4225 24.0012   23         2.9
 2019 JAN 11   10 25 23.3 37.2784 20.6891   12         2.6
 2019 JAN 11   10 58 42.2 37.5955 20.6250    9         2.8
 2019 JAN 11   11 30 48.2 37.5625 20.6927   12         3.0
 2019 JAN 11   12 39 52.1 37.6148 20.3560   10         2.3
 2019 JAN 11   12 47 49.8 37.5635 20.6778   13         2.7
 2019 JAN 11   13 27 08.2 37.4183 20.4675   10         2.1
 2019 JAN 11   13 51 06.0 37.6670 20.7990    5         2.5
 2019 JAN 11   13 55 03.8 37.1768 20.4647   10         2.4
 2019 JAN 11   14 07 52.3 37.1332 20.5250   10         2.4
 2019 JAN 11   14 10 52.5 37.6227 20.5193   11         2.2
 2019 JAN 11   14 33 39.2 37.4762 20.4625   10         2.3
 2019 JAN 11   14 34 36.4 37.4551 20.4794    5         2.5
 2019 JAN 11   14 59 46.2 37.5982 20.6403   13         2.0
 2019 JAN 11   15 30 37.3 37.4570 20.4428    8         1.9
