   DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)           
 2018 JAN 10   15 32 04.9 38.1138 23.9013   15         1.9
 2018 JAN 10   16 06 38.1 38.1167 23.8985   17         1.8
 2018 JAN 10   16 09 35.6 39.9402 23.6433   12         1.8
 2018 JAN 10   17 06 37.8 34.7752 22.8637   10         3.2
 2018 JAN 10   17 18 26.2 38.1105 23.9153   17         2.0
 2018 JAN 10   18 56 57.0 40.8672 21.3540   20         1.6
 2018 JAN 10   18 58 15.2 40.7525 21.4605   14         1.7
 2018 JAN 10   19 17 29.1 40.7238 21.5088    7         2.4
 2018 JAN 10   19 37 04.8 40.7315 21.5015   10         2.0
 2018 JAN 10   19 41 57.4 40.8452 21.3118   19         2.3
 2018 JAN 10   19 54 57.7 40.7557 21.5220   13         1.9
 2018 JAN 10   20 09 42.0 39.1707 21.5695    8         2.1
 2018 JAN 10   20 13 41.2 40.8560 21.2955   16         1.4
 2018 JAN 10   20 13 56.7 40.5283 22.5177    8         1.3
 2018 JAN 10   20 35 08.3 38.3011 22.3508   10         1.8
 2018 JAN 10   20 53 08.7 40.7240 21.5167   12         1.9
 2018 JAN 10   21 01 13.8 40.7076 21.5456    7         2.2
 2018 JAN 10   21 10 51.3 38.3987 21.6358   22         1.5
 2018 JAN 10   21 33 42.1 40.7275 21.5245    8         2.2
 2018 JAN 10   22 49 02.5 40.7350 21.5027   12         1.5
 2018 JAN 10   22 49 13.0 38.8720 22.2385   16         1.2
 2018 JAN 10   23 02 44.1 40.0088 25.8820   14         2.2
 2018 JAN 10   23 02 54.3 38.3120 22.3782   13         1.3
 2018 JAN 10   23 11 02.4 38.1328 23.8987   14         1.5
 2018 JAN 10   23 46 11.8 38.7830 23.5158    8         2.4
 2018 JAN 11   00 56 18.3 38.8510 26.1092   10         1.6
